ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
4716,beta,medium,50.93,91.76,302,1
4717,beta,medium,38.96,35.53,470,1
4718,alpha,medium,52.63,78.95,413,1
4719,beta,low,86.52,27.66,495,0
4720,alpha,high,53.57,18.44,356,0
4721,beta,high,55.96,56.3,470,1
4722,alpha,medium,42.45,75.13,11,0
4723,beta,low,63.35,68.53,221,1
4724,beta,medium,46.92,70.85,258,1
4725,beta,low,61.74,60.82,184,1
4726,beta,low,26.59,62.61,57,0
4727,beta,low,26.99,3.71,423,1
4728,alpha,medium,43.13,46.27,203,1
4729,beta,high,46.25,36.61,400,1
4730,beta,medium,61.12,70.64,120,1
4731,beta,high,24.56,30.81,454,1
4732,alpha,high,73.88,9.05,261,1
4733,beta,medium,44.13,49.43,436,1
4734,alpha,high,54.88,81.66,241,0
4735,alpha,medium,50.57,5.73,437,1
4736,beta,low,44.63,80.93,441,1
4737,alpha,low,49.34,62.41,253,1
4738,alpha,high,49.95,77.76,468,0
4739,beta,medium,31.02,13.59,123,1
4740,beta,low,44.35,97.36,89,0
4741,alpha,high,69.16,77.09,488,1
4742,alpha,high,69.81,59.35,441,1
4743,alpha,medium,65.77,78.82,20,1
4744,alpha,low,50.9,93.34,7,1
4745,beta,high,61.89,82.47,477,1
4746,beta,low,48.43,34.87,416,0
4747,alpha,low,31.27,54.37,218,1
4748,alpha,low,63.47,88.07,320,1
4749,beta,high,40.22,45.85,95,0
4750,beta,high,83.71,81.05,266,1
4751,beta,low,59.69,96.54,317,1
4752,beta,medium,38.13,3.41,175,0
4753,alpha,high,71.65,4.88,80,1
4754,alpha,low,56.46,11.56,173,0
4755,alpha,high,43.48,87.01,203,1
4756,alpha,high,44.86,88.66,212,1
4757,alpha,low,64.18,61.82,420,1
4758,alpha,high,41.49,23.44,184,1
4759,alpha,low,40.3,93.1,48,0
4760,alpha,low,77.68,48.07,274,1
4761,alpha,high,57.06,22.64,495,0
4762,beta,high,46.7,18.48,392,1
4763,beta,medium,50.86,30.21,291,1
4764,alpha,low,42.9,27.66,226,1
4765,alpha,low,43.51,0.93,377,0
4766,alpha,high,54.15,64.96,443,1
4767,alpha,medium,41.0,4.38,373,0
4768,beta,high,44.17,5.36,446,0
4769,alpha,low,13.4,62.45,77,1
4770,beta,high,66.24,1.26,2,1
4771,beta,low,58.3,42.79,385,0
4772,alpha,low,56.95,49.13,434,0
4773,beta,medium,47.88,90.51,130,0
4774,alpha,high,18.87,13.02,448,0
4775,alpha,low,62.94,72.48,14,1
4776,alpha,high,67.92,73.05,256,0
4777,beta,high,48.55,73.59,358,1
4778,alpha,low,53.05,63.87,266,0
4779,alpha,low,51.69,76.73,311,0
4780,alpha,low,41.83,20.27,139,0
4781,beta,high,39.05,21.39,390,0
4782,beta,high,52.44,61.92,97,1
4783,alpha,high,38.98,96.29,108,1
4784,alpha,high,53.94,8.4,208,1
4785,beta,medium,52.64,33.58,485,0
4786,beta,medium,45.42,27.95,190,0
4787,alpha,high,54.81,77.53,393,1
4788,beta,low,39.92,10.39,4,1
4789,alpha,high,70.96,81.53,20,1
4790,alpha,medium,78.91,13.32,122,1
4791,alpha,high,39.65,62.13,291,0
4792,beta,medium,44.95,66.32,278,1
4793,alpha,medium,32.46,45.02,161,0
4794,beta,medium,34.93,0.03,24,0
4795,beta,low,39.17,98.38,132,0
4796,beta,low,61.52,89.38,495,0
4797,alpha,low,47.01,30.96,258,0
4798,beta,medium,44.0,63.09,46,0
4799,beta,high,67.11,95.95,362,0
4800,alpha,medium,67.42,14.04,46,1
4801,alpha,high,53.09,84.18,4,1
4802,beta,low,33.96,23.57,309,0
4803,beta,low,38.49,23.55,193,1
4804,alpha,medium,55.89,33.24,107,1
4805,beta,high,69.22,46.17,291,1
4806,beta,medium,47.46,79.9,347,0
4807,beta,low,58.56,14.03,37,1
4808,alpha,high,80.14,53.41,121,1
4809,alpha,high,36.37,71.58,484,1
4810,alpha,low,67.87,38.9,432,1
4811,alpha,low,43.25,71.62,304,1
4812,alpha,high,47.67,52.11,108,1
4813,alpha,low,59.94,15.68,339,1
4814,beta,low,30.85,82.5,56,0
4815,alpha,medium,47.9,45.1,66,0
4816,alpha,low,29.6,37.46,333,1
4817,alpha,high,61.0,41.58,122,1
4818,alpha,low,50.49,94.6,396,0
4819,alpha,medium,65.04,37.52,462,1
4820,alpha,high,41.94,71.06,237,1
4821,alpha,medium,35.17,15.31,99,1
4822,alpha,medium,31.7,37.95,60,0
4823,alpha,medium,48.84,74.14,374,1
4824,beta,low,60.11,79.37,202,1
4825,beta,medium,35.47,94.91,260,0
4826,beta,medium,78.91,79.12,85,0
4827,alpha,low,50.86,14.4,200,1
4828,beta,high,43.71,78.89,113,1
4829,beta,medium,50.94,90.39,39,1
4830,alpha,low,45.18,56.92,36,1
4831,beta,medium,45.2,3.1,311,0
4832,alpha,medium,45.77,86.89,250,0
4833,beta,low,81.2,2.11,210,1
4834,beta,high,49.92,71.09,95,0
4835,alpha,low,40.2,58.58,483,1
4836,alpha,high,39.68,24.99,452,0
4837,beta,medium,61.73,37.82,96,1
4838,alpha,high,45.81,56.82,453,0
4839,alpha,medium,63.0,50.21,377,0
4840,beta,medium,64.99,15.8,200,0
4841,alpha,low,41.21,90.65,51,1
4842,alpha,low,44.32,88.75,407,1
4843,alpha,high,55.99,44.42,445,0
4844,alpha,low,45.74,4.5,20,1
4845,beta,high,38.3,25.52,103,0
4846,beta,medium,31.65,78.25,345,1
4847,alpha,medium,59.78,69.54,81,1
4848,alpha,medium,40.67,75.98,75,1
4849,beta,medium,62.26,93.69,311,1
4850,alpha,low,43.01,64.27,350,0
4851,alpha,medium,56.26,78.59,3,1
4852,alpha,medium,79.54,95.28,118,1
4853,alpha,high,64.58,42.87,128,1
4854,beta,medium,53.48,67.11,217,0
4855,beta,medium,31.68,69.44,199,0
4856,alpha,high,91.56,91.67,176,0
4857,beta,low,91.29,34.04,447,1
4858,beta,medium,39.24,44.61,33,1
4859,beta,high,40.62,59.55,465,1
4860,beta,medium,75.65,81.91,484,1
4861,alpha,low,48.6,58.46,175,0
4862,beta,low,35.08,71.29,358,0
4863,beta,low,32.03,48.38,200,0
4864,alpha,high,75.77,48.93,252,1
4865,alpha,low,34.66,58.95,202,1
4866,alpha,low,76.46,55.01,52,1
4867,beta,low,56.14,92.94,426,0
4868,beta,low,37.62,4.16,3,1
4869,beta,medium,104.05,15.52,188,1
4870,alpha,high,43.54,6.19,254,1
4871,alpha,low,44.1,39.13,194,1
4872,alpha,high,63.08,28.28,223,1
4873,alpha,medium,25.76,10.27,30,1
4874,alpha,high,42.47,64.84,305,1
4875,alpha,high,71.75,49.96,380,1
4876,alpha,high,75.22,88.4,144,1
4877,alpha,medium,69.97,70.35,128,1
4878,beta,low,71.59,87.6,169,0
4879,beta,medium,57.07,89.56,422,1
4880,beta,high,40.95,13.88,374,1
4881,beta,low,50.24,19.41,350,1
4882,beta,medium,66.95,8.88,243,0
4883,beta,low,63.63,48.25,425,1
4884,beta,high,96.5,32.4,315,0
4885,alpha,medium,52.37,41.33,79,1
4886,alpha,high,62.83,6.0,185,1
4887,beta,medium,27.4,96.52,309,0
4888,beta,low,23.86,82.99,172,1
4889,alpha,high,58.65,52.69,305,0
4890,alpha,medium,45.62,28.42,187,1
4891,beta,low,34.54,49.9,63,1
4892,beta,high,39.59,14.72,186,0
4893,beta,low,41.7,98.96,299,0
4894,alpha,medium,37.6,2.46,65,1
4895,alpha,high,42.83,88.54,478,1
4896,alpha,high,25.42,51.8,467,1
4897,alpha,medium,45.71,57.92,289,1
4898,alpha,medium,14.85,24.22,210,1
4899,beta,medium,56.04,13.32,109,0
4900,beta,high,60.92,49.09,341,1
4901,beta,low,62.53,51.4,375,0
4902,beta,medium,64.53,39.09,396,0
4903,alpha,low,41.88,68.05,275,1
4904,beta,high,71.26,11.24,33,0
4905,beta,medium,39.89,79.73,146,1
4906,alpha,high,64.01,21.32,346,1
4907,alpha,medium,56.72,27.64,359,0
4908,beta,medium,56.54,27.16,57,1
4909,beta,low,56.2,25.54,411,1
4910,beta,medium,47.22,30.33,8,0
4911,alpha,high,49.74,78.58,82,1
4912,beta,low,63.42,8.07,259,1
4913,beta,low,57.46,63.44,171,1
4914,alpha,high,84.09,29.8,233,1
4915,alpha,low,39.78,62.14,106,0
4916,beta,low,24.34,36.32,443,0
4917,alpha,low,51.8,31.78,497,1
4918,beta,low,48.8,41.19,251,1
4919,beta,low,38.39,45.12,169,0
4920,alpha,medium,59.06,92.98,53,1
4921,alpha,low,27.7,53.14,256,0
4922,beta,low,51.88,99.11,425,1
4923,alpha,medium,45.95,50.01,201,0
4924,beta,high,60.38,55.57,3,1
4925,alpha,low,45.93,15.6,50,0
4926,beta,medium,46.74,25.35,332,0
4927,alpha,low,54.19,45.43,280,1
4928,beta,medium,41.29,1.09,253,1
4929,beta,medium,70.45,54.23,122,1
4930,beta,medium,55.72,60.56,90,1
4931,beta,high,46.94,81.69,352,1
4932,alpha,medium,60.27,37.13,145,1
4933,alpha,low,59.38,84.04,59,1
4934,alpha,medium,62.68,97.87,193,1
4935,alpha,medium,50.76,28.12,247,1
4936,beta,low,60.8,80.46,6,1
4937,beta,low,19.9,74.27,272,0
4938,alpha,high,46.52,21.94,144,1
4939,alpha,medium,39.15,52.87,449,0
4940,alpha,medium,79.26,28.32,476,1
4941,alpha,medium,68.49,35.92,37,1
4942,alpha,high,43.36,74.0,19,1
4943,alpha,medium,51.44,17.5,189,1
4944,beta,medium,65.21,59.23,398,0
4945,beta,medium,24.3,67.23,174,1
4946,alpha,high,58.7,74.51,399,0
4947,beta,low,48.01,16.03,377,0
4948,beta,high,42.06,7.68,489,1
4949,beta,medium,34.04,85.17,276,1
4950,beta,high,41.13,94.88,442,1
4951,alpha,high,40.36,75.53,286,1
4952,alpha,high,51.63,63.05,430,0
4953,alpha,high,90.79,49.14,127,1
4954,beta,medium,61.37,85.74,312,1
4955,beta,medium,49.95,98.69,339,0
4956,beta,low,51.56,74.81,59,0
4957,alpha,low,41.18,68.86,301,0
4958,alpha,medium,68.4,53.14,91,1
4959,alpha,low,50.22,69.64,53,0
4960,beta,high,54.36,29.48,493,0
4961,beta,medium,74.85,32.91,445,1
4962,alpha,high,46.33,5.36,378,1
4963,beta,high,60.11,94.11,10,0
4964,beta,low,31.52,86.55,226,0
4965,alpha,high,43.54,17.39,190,0
4966,alpha,high,36.19,27.63,285,1
4967,beta,high,43.57,94.7,389,0
4968,beta,high,61.75,31.5,172,1
4969,alpha,low,72.21,84.33,116,0
4970,beta,medium,40.55,89.57,407,1
4971,beta,low,55.96,60.74,260,1
4972,alpha,low,31.16,80.03,27,1
4973,alpha,medium,42.31,64.4,238,0
4974,alpha,medium,44.35,73.21,354,0
4975,beta,low,29.96,95.04,294,0
4976,beta,medium,45.26,82.76,227,0
4977,beta,medium,54.16,8.2,254,0
4978,alpha,high,60.63,95.2,311,0
4979,beta,low,54.9,52.16,236,0
4980,alpha,medium,60.33,67.0,266,0
4981,alpha,high,91.83,45.32,136,1
4982,alpha,high,60.21,14.91,159,1
4983,alpha,high,58.53,27.85,413,1
4984,beta,low,73.99,79.43,446,1
4985,beta,high,41.29,12.02,234,0
4986,beta,high,40.46,98.77,274,0
4987,beta,high,41.69,6.97,43,0
4988,alpha,high,42.53,63.07,195,1
4989,beta,medium,64.99,93.2,385,1
4990,alpha,high,40.83,59.54,223,1
4991,beta,high,57.02,13.2,293,0
4992,beta,medium,42.7,76.09,12,0
4993,alpha,medium,53.03,58.27,435,1
4994,beta,medium,64.21,38.69,466,0
4995,beta,low,58.45,51.36,217,1
4996,beta,low,50.44,59.96,169,0
4997,beta,medium,49.19,43.1,189,1
4998,alpha,high,34.05,48.86,215,1
4999,alpha,low,63.02,83.96,275,0
5000,alpha,medium,53.02,81.48,481,0
5001,alpha,medium,84.55,87.25,15,1
5002,beta,medium,60.51,71.74,94,0
5003,alpha,medium,63.96,64.1,481,1
5004,alpha,medium,48.58,23.69,466,0
5005,alpha,low,46.33,6.33,64,0
5006,alpha,high,41.58,19.28,169,1
5007,beta,medium,58.78,65.83,404,1
5008,alpha,high,37.69,50.84,217,1
5009,beta,high,31.6,40.17,4,0
5010,beta,low,34.9,95.2,22,0
5011,alpha,high,68.23,96.62,453,1
5012,beta,low,52.17,26.2,240,0
5013,beta,low,40.26,25.01,183,0
5014,beta,medium,49.28,65.6,454,0
5015,alpha,low,38.17,93.61,284,1
5016,beta,low,48.48,99.91,339,0
5017,alpha,medium,36.43,68.03,391,1
5018,alpha,medium,40.87,5.31,202,0
5019,beta,low,84.38,50.01,487,1
5020,beta,low,41.52,51.21,378,0
5021,beta,low,68.84,81.0,377,0
5022,beta,low,46.45,36.2,383,0
5023,beta,medium,81.77,19.63,276,1
5024,beta,medium,49.26,42.4,406,1
5025,beta,low,41.77,83.59,240,0
5026,alpha,medium,44.03,5.87,103,0
5027,alpha,medium,33.23,97.06,139,0
5028,alpha,medium,52.77,17.25,80,0
5029,beta,medium,51.24,45.77,370,1
5030,alpha,low,38.36,85.52,135,1
5031,alpha,high,46.33,60.82,53,1
5032,beta,medium,54.48,30.19,214,1
5033,beta,low,15.36,30.16,392,1
5034,beta,high,47.85,81.18,352,0
5035,alpha,high,46.63,21.63,7,1
5036,beta,medium,51.22,98.74,210,0
5037,alpha,low,80.73,98.17,75,1
5038,beta,low,39.61,30.04,497,0
5039,beta,high,51.82,39.22,291,1
5040,beta,high,45.52,78.27,342,0
5041,beta,medium,68.7,17.27,184,0
5042,beta,medium,66.92,26.52,7,1
5043,alpha,low,45.15,72.75,15,1
5044,beta,medium,42.98,77.54,77,0
5045,alpha,high,42.83,77.31,130,0
5046,beta,medium,48.51,90.59,250,0
5047,beta,medium,77.76,3.8,430,0
5048,beta,low,56.42,92.7,362,1
5049,beta,high,35.02,32.72,64,1
5050,alpha,low,54.75,48.16,106,0
5051,beta,low,68.41,62.37,14,1
5052,alpha,low,71.34,71.03,230,0
5053,alpha,medium,43.74,4.28,286,1
5054,beta,medium,60.19,3.45,492,1
5055,beta,medium,27.49,10.22,311,1
5056,beta,medium,32.46,81.55,342,0
5057,beta,medium,30.09,23.95,216,0
5058,alpha,high,46.87,82.72,317,0
5059,beta,high,49.13,83.85,99,1
5060,beta,low,68.09,5.91,153,0
5061,beta,medium,62.36,79.13,240,1
5062,alpha,low,59.54,20.64,16,0
5063,beta,low,43.96,64.16,227,1
5064,alpha,high,51.88,15.24,155,1
5065,beta,low,64.95,90.97,296,0
5066,beta,medium,36.1,93.14,10,0
5067,beta,low,67.79,33.58,244,0
5068,beta,medium,81.66,25.81,317,1
5069,beta,medium,32.88,13.03,331,0
5070,alpha,medium,65.15,53.65,96,0
5071,beta,high,12.53,48.41,1,0
5072,alpha,medium,34.59,83.8,167,1
5073,beta,medium,58.98,42.54,401,1
5074,beta,high,60.09,83.79,476,0
5075,beta,medium,60.93,43.77,397,1
5076,alpha,low,61.87,4.65,18,1
5077,alpha,high,53.26,41.43,455,0
5078,beta,high,43.79,25.95,129,1
5079,beta,high,69.78,22.79,16,1
5080,alpha,low,48.31,15.29,395,0
5081,beta,low,39.62,49.81,255,0
5082,alpha,medium,76.71,99.54,465,1
5083,alpha,medium,44.92,60.67,233,1
5084,beta,low,32.31,59.84,61,0
5085,beta,medium,57.9,67.84,404,1
5086,alpha,low,36.34,24.01,215,1
5087,alpha,high,58.22,94.3,414,0
5088,alpha,low,67.82,84.55,307,1
5089,beta,medium,83.08,76.62,463,1
5090,alpha,medium,34.36,7.8,197,1
5091,beta,medium,68.89,33.9,388,1
5092,alpha,low,86.93,80.39,6,1
5093,alpha,high,51.42,54.07,139,0
5094,beta,medium,55.73,69.4,491,1
5095,alpha,medium,42.75,45.08,248,1
5096,alpha,low,51.24,31.84,167,1
5097,alpha,high,42.96,53.66,27,1
5098,beta,medium,37.9,44.46,122,1
5099,alpha,medium,61.67,80.19,364,1
5100,beta,low,56.15,92.81,340,1
5101,alpha,medium,61.33,35.03,160,1
5102,alpha,low,44.24,16.64,430,1
5103,alpha,medium,65.65,96.91,63,1
5104,alpha,low,37.88,90.03,42,0
5105,alpha,high,76.02,14.77,429,1
5106,beta,high,60.07,50.42,144,0
5107,beta,medium,57.99,71.93,256,0
5108,beta,low,47.85,69.63,25,1
5109,beta,medium,76.18,4.62,428,1
5110,alpha,medium,84.21,65.47,23,1
5111,alpha,medium,61.93,14.14,422,1
5112,alpha,medium,43.11,36.25,433,1
5113,alpha,medium,37.38,77.73,219,1
5114,alpha,low,28.8,29.89,95,1
5115,alpha,low,85.25,75.72,396,1
5116,alpha,high,46.63,5.25,243,0
5117,beta,high,47.08,57.34,250,0
5118,alpha,low,48.43,48.77,233,1
5119,alpha,medium,24.18,2.78,162,0
5120,alpha,medium,44.06,62.95,181,1
5121,alpha,high,46.47,9.16,360,1
5122,alpha,high,72.39,72.31,143,1
5123,beta,high,48.79,26.48,213,1
5124,beta,high,67.07,97.86,25,1
5125,beta,high,64.83,77.07,394,0
5126,beta,medium,12.6,8.14,347,1
5127,beta,high,53.62,85.13,106,1
5128,alpha,high,49.44,67.29,230,1
5129,alpha,low,59.4,89.02,488,1
5130,alpha,high,35.62,21.66,94,1
5131,beta,low,51.78,99.28,258,1
5132,beta,low,46.61,50.08,64,0
5133,beta,medium,44.27,83.12,36,1
5134,beta,medium,70.84,91.21,118,1
5135,alpha,medium,42.03,50.52,231,0
5136,alpha,medium,35.27,10.71,215,1
5137,alpha,low,71.4,30.65,268,1
5138,alpha,medium,47.71,89.46,481,0
5139,alpha,low,38.71,4.48,260,0
5140,alpha,low,60.58,27.1,484,0
5141,beta,high,52.68,15.41,43,1
5142,alpha,high,75.32,47.63,186,1
5143,alpha,high,39.84,99.13,36,1
5144,alpha,high,49.9,69.22,336,1
5145,beta,low,44.12,10.36,284,0
5146,alpha,medium,43.15,37.14,26,0
5147,beta,medium,59.1,91.82,353,0
5148,alpha,medium,68.44,2.01,101,1
5149,beta,high,39.95,81.67,186,1
5150,alpha,medium,54.6,47.56,271,1
5151,beta,medium,62.75,29.95,473,0
5152,alpha,low,78.07,75.64,178,1
5153,beta,high,60.95,16.41,377,1
5154,alpha,high,40.16,22.02,242,0
5155,alpha,medium,52.15,16.34,333,1
5156,alpha,medium,41.11,86.15,76,1
5157,alpha,low,45.71,30.41,376,0
5158,beta,medium,60.95,90.03,192,1
5159,alpha,low,39.69,77.94,445,1
5160,beta,high,77.38,43.58,438,1
5161,beta,medium,74.96,70.18,269,1
5162,alpha,low,46.88,72.67,362,1
5163,alpha,low,33.77,78.87,137,0
5164,alpha,medium,43.46,2.13,234,1
5165,beta,medium,67.24,63.13,363,1
5166,alpha,high,52.88,10.59,204,1
5167,beta,high,43.45,67.11,474,1
5168,alpha,low,46.54,34.2,21,1
5169,beta,medium,47.0,92.26,42,1
5170,alpha,medium,45.26,90.54,321,1
5171,alpha,low,69.02,28.28,235,1
5172,beta,low,68.07,54.98,46,1
5173,alpha,high,85.35,65.12,161,1
5174,alpha,high,44.47,13.88,342,1
5175,beta,high,27.27,30.8,271,0
5176,alpha,high,46.05,36.74,1,1
5177,alpha,low,46.55,59.12,64,0
5178,beta,medium,69.91,21.56,17,1
5179,alpha,medium,31.19,31.36,325,1
5180,alpha,high,71.44,19.25,388,1
5181,beta,medium,46.88,11.66,354,0
5182,beta,medium,39.2,26.27,222,0
5183,alpha,low,46.83,75.75,312,0
5184,alpha,high,38.73,32.34,311,0
5185,beta,low,59.05,98.07,483,0
5186,alpha,low,37.03,68.92,214,0
5187,alpha,medium,46.59,55.23,143,0
5188,beta,medium,54.68,35.2,129,0
5189,beta,high,45.7,67.24,246,1
5190,beta,medium,55.83,50.31,112,0
5191,alpha,low,61.8,22.89,79,0
5192,beta,medium,65.14,54.98,336,0
5193,beta,high,57.84,54.4,106,0
5194,beta,high,58.36,67.57,284,1
5195,beta,low,40.09,46.64,375,0
5196,alpha,medium,38.58,43.06,5,1
5197,alpha,low,50.94,12.96,392,1
5198,beta,medium,77.19,15.41,157,1
5199,alpha,high,68.67,2.18,473,0
5200,alpha,low,71.05,90.01,13,0
5201,alpha,high,38.25,46.26,438,1
5202,alpha,medium,77.75,63.38,187,1
5203,beta,medium,36.54,93.36,174,1
5204,alpha,medium,59.71,32.53,210,1
5205,beta,low,59.3,42.92,202,0
5206,alpha,high,62.51,77.61,236,1
5207,beta,medium,69.93,0.99,324,1
5208,beta,medium,43.26,25.43,192,0
5209,alpha,medium,45.41,78.87,316,0
5210,alpha,medium,40.92,91.21,429,1
5211,alpha,high,32.12,46.56,366,0
5212,beta,medium,35.76,94.93,242,1
5213,beta,medium,45.33,88.04,25,0
5214,alpha,high,50.76,76.75,97,1
5215,alpha,low,50.21,30.64,314,1
5216,beta,low,39.65,83.53,176,0
5217,beta,low,24.26,20.34,468,0
5218,beta,low,41.74,91.13,436,1
5219,beta,high,51.34,87.84,485,1
5220,alpha,high,64.75,98.27,273,1
5221,beta,high,68.64,60.58,255,1
5222,beta,medium,55.6,0.09,46,1
5223,beta,low,65.46,67.98,405,0
5224,alpha,medium,48.27,98.97,204,1
5225,alpha,medium,16.83,17.27,83,1
5226,alpha,high,31.53,83.49,155,1
5227,alpha,low,53.65,26.14,467,0
5228,beta,high,37.58,11.71,296,0
5229,alpha,low,62.43,59.07,267,1
5230,beta,low,67.98,14.47,306,0
5231,beta,high,60.84,46.04,40,1
5232,beta,medium,33.61,11.8,259,0
5233,alpha,high,63.43,78.83,289,1
5234,beta,high,57.07,6.8,355,1
5235,alpha,low,52.35,73.86,148,1
5236,beta,high,59.52,51.53,24,1
5237,alpha,low,37.95,91.95,251,1
5238,alpha,low,35.63,43.18,95,0
5239,alpha,high,27.73,7.28,218,1
5240,alpha,medium,46.41,3.79,412,1
5241,alpha,high,48.46,43.01,152,0
5242,alpha,low,61.84,70.21,9,1
5243,alpha,high,51.01,69.6,17,1
5244,alpha,medium,31.35,1.18,366,0
5245,alpha,high,59.24,32.69,39,1
5246,alpha,high,75.71,13.64,356,1
5247,beta,medium,46.26,8.78,254,0
5248,beta,medium,36.99,83.25,229,1
5249,alpha,medium,50.14,21.56,44,1
5250,beta,medium,64.9,42.78,298,0
5251,alpha,high,53.59,39.68,470,1
5252,beta,high,47.3,3.68,265,0
5253,alpha,medium,58.78,84.26,153,1
5254,beta,high,52.99,19.23,334,0
5255,alpha,low,49.64,92.25,400,0
5256,beta,medium,50.66,79.59,455,1
5257,alpha,medium,55.28,21.97,329,0
5258,alpha,low,50.3,97.25,273,1
5259,beta,high,50.01,31.9,306,0
5260,alpha,low,62.13,95.29,227,1
5261,beta,high,55.19,65.16,10,0
5262,alpha,low,52.88,7.13,5,1
5263,beta,high,25.58,90.4,335,1
5264,alpha,low,72.69,93.01,280,1
5265,alpha,low,52.14,61.73,146,1
5266,beta,medium,36.0,11.69,407,1
5267,beta,high,75.05,41.5,314,1
5268,beta,medium,55.05,6.19,305,0
5269,alpha,high,36.62,51.07,484,1
5270,beta,medium,57.85,28.55,343,0
5271,alpha,medium,36.91,54.2,167,0
5272,alpha,low,29.17,69.32,320,0
5273,alpha,low,67.09,59.34,65,0
5274,beta,medium,39.73,70.66,462,1
5275,beta,low,38.23,79.7,288,1
5276,beta,low,53.64,96.11,181,0
5277,beta,low,43.4,29.47,34,1
5278,alpha,low,10.54,79.15,378,0
5279,alpha,high,42.94,28.45,211,1
5280,alpha,medium,70.99,41.66,123,1
5281,beta,high,61.47,91.12,121,1
5282,beta,low,23.63,0.01,414,0
5283,alpha,high,53.15,91.8,133,0
5284,beta,medium,54.39,0.16,219,0
5285,alpha,medium,57.57,67.59,259,1
5286,beta,low,22.98,31.87,171,0
5287,beta,low,27.68,49.4,272,0
5288,beta,high,49.24,5.41,77,0
5289,beta,high,61.35,97.41,50,1
5290,beta,low,55.18,94.73,397,1
5291,beta,medium,68.7,71.25,333,0
5292,beta,medium,59.53,60.25,460,1
5293,beta,low,73.52,16.56,448,1
5294,beta,high,42.69,86.79,469,1
5295,beta,high,43.51,38.24,412,0
5296,alpha,high,39.73,35.44,245,1
5297,beta,high,43.09,19.21,253,0
5298,beta,medium,48.69,25.42,67,0
5299,alpha,low,53.42,48.5,11,1
5300,beta,medium,42.88,75.93,281,1
5301,beta,medium,52.37,78.31,233,1
5302,beta,medium,51.84,49.09,196,0
5303,beta,low,37.78,29.34,114,1
5304,beta,low,77.53,1.51,123,1
5305,alpha,low,34.24,51.26,184,0
5306,alpha,low,41.43,44.92,107,1
5307,alpha,medium,67.32,7.47,28,1
5308,alpha,high,38.39,69.27,88,1
5309,beta,low,41.5,1.06,415,1
5310,alpha,high,78.36,20.51,406,0
5311,alpha,high,28.97,30.1,440,0
5312,alpha,low,37.44,30.97,97,0
5313,alpha,high,52.41,17.57,47,0
5314,alpha,high,53.25,72.88,404,1
5315,alpha,low,42.63,21.35,50,1
5316,alpha,medium,37.04,76.7,242,1
5317,alpha,high,52.18,18.31,196,0
5318,alpha,high,48.25,20.6,475,0
5319,alpha,high,86.14,14.94,488,1
5320,alpha,low,60.8,64.12,270,0
5321,alpha,high,43.51,74.88,452,1
5322,alpha,high,40.57,81.23,150,0
5323,beta,medium,53.41,25.15,219,0
5324,beta,medium,52.63,78.89,236,1
5325,alpha,medium,44.18,76.48,71,0
5326,beta,high,31.45,99.93,345,1
5327,beta,medium,54.43,96.52,19,0
5328,beta,high,49.43,95.91,399,1
5329,beta,medium,56.16,8.78,423,1
5330,beta,low,45.56,81.97,309,1
5331,beta,high,50.28,74.26,480,1
5332,alpha,medium,22.6,62.37,206,0
5333,beta,medium,59.33,14.72,87,0
5334,beta,medium,59.66,96.19,467,1
5335,alpha,medium,33.85,62.91,252,1
5336,beta,high,90.44,20.32,491,0
5337,alpha,medium,63.78,74.79,222,1
5338,beta,medium,19.8,97.56,274,0
5339,beta,low,33.87,12.18,92,1
5340,beta,medium,65.62,98.35,311,1
5341,beta,low,67.51,12.36,242,1
5342,alpha,medium,61.71,59.26,260,1
5343,beta,high,49.26,57.91,270,0
5344,alpha,medium,45.65,29.52,473,0
5345,beta,medium,46.94,53.44,368,1
5346,beta,low,42.21,4.67,293,1
5347,alpha,medium,24.21,66.11,437,1
5348,alpha,medium,49.99,77.44,217,0
5349,alpha,high,66.01,80.86,61,0
5350,alpha,low,44.64,48.81,251,1
5351,beta,high,44.57,21.38,467,0
5352,alpha,low,34.23,61.39,285,1
5353,alpha,low,51.89,4.29,199,0
5354,beta,low,62.37,19.42,335,1
5355,beta,high,62.13,36.15,488,1
5356,alpha,medium,42.01,99.9,232,0
5357,alpha,medium,14.56,52.4,137,1
5358,alpha,high,56.49,29.63,423,1
5359,beta,medium,40.83,38.58,75,1
5360,alpha,medium,42.67,18.16,374,1
5361,beta,medium,50.84,95.91,185,1
5362,alpha,high,28.82,16.17,266,1
5363,alpha,high,55.35,53.46,314,1
5364,alpha,medium,70.95,62.03,73,1
5365,alpha,high,63.14,8.37,492,1
5366,beta,high,69.47,63.69,248,1
5367,alpha,low,50.85,6.88,330,1
5368,beta,high,66.21,38.73,248,1
5369,beta,medium,35.7,48.54,222,1
5370,alpha,high,45.75,79.67,25,1
5371,alpha,low,60.06,65.39,42,1
5372,alpha,medium,76.05,70.37,444,1
5373,beta,high,71.25,43.72,497,1
5374,alpha,medium,34.41,96.76,331,1
5375,alpha,high,46.75,65.15,295,0
5376,alpha,low,64.67,53.07,486,1
5377,alpha,low,52.52,26.79,125,1
5378,alpha,medium,80.61,37.62,220,1
5379,alpha,high,61.28,83.31,152,1
5380,alpha,medium,40.69,59.67,480,1
5381,alpha,low,51.82,19.98,84,1
5382,beta,medium,43.06,94.81,262,1
